Id;Local;Pts1;Pts2;Visiteur;Date;Stade;Cpt
1867;1995-01-01;France;22;15;New Zealand;1995 New Zealand Tour of France & Italy;1
1868;1995-01-01;France;12;37;New Zealand;1995 New Zealand Tour of France & Italy;2
1885;1999-01-01;New Zealand;54;7;France;1999 France Tour of Samoa, Tonga &  New Zealand;3
1891;1999-10-01;France;43;31;New Zealand;Rugby World Cup 1999;4
1898;2000-01-01;France;26;39;New Zealand;2000 New Zealand Tour of France & Italy;5
1899;2000-01-01;France;42;33;New Zealand;2000 New Zealand Tour of France & Italy;6
2552;2001-01-01;New Zealand;37;12;France;2001 France Tour of South Africa & New Zealand;7
2556;2002-01-01;France;20;20;New Zealand;2002 New Zealand Tour of England, France & Wales;8
5261;2003-01-01;New Zealand;31;23;France;2003 France Tour of Argentina & New Zealand;9
8221;2003-10-10;France;13;40;New Zealand;Rugby World Cup 2003;10
8524;2004-01-01;France;6;45;New Zealand;2004 New Zealand Tour of Italy, Wales & France;11
9713;2006-01-01;France;3;47;New Zealand;2006 New Zealand Tour of England, France & Wales;12
9717;2006-01-01;France;11;23;New Zealand;2006 New Zealand Tour of England, France & Wales;13
10217;2007-01-01;New Zealand;42;11;France;2007 France Tour of New Zealand;14
10218;2007-01-01;New Zealand;61;10;France;2007 France Tour of New Zealand;15
10342;2007-09-07;New Zealand;18;20;France;Rugby World Cup 2007;16
10993;2009-06-01;New Zealand;22;27;France;2009 France Tour of New Zealand & Australia;17
10996;2009-06-01;New Zealand;14;10;France;2009 France Tour of New Zealand & Australia;18
11181;2009-11-06;France;12;39;New Zealand;2009 New Zealand Tour of Europe;19
10951;2011-09-09;New Zealand;37;17;France;Rugby World Cup 2011;20
11235;2011-09-09;France;7;8;New Zealand;Rugby World Cup 2011;21
14244;2013-06-01;New Zealand;23;13;France;2013 France Tour (NZL);22
14246;2013-06-01;New Zealand;30;0;France;2013 France Tour (NZL);23
14247;2013-06-01;New Zealand;24;9;France;2013 France Tour (NZL);24
14414;2013-11-01;France;19;26;New Zealand;2013 New Zealand Tour (ENG/FRA/IRL/JPN);25
14230;2015-09-18;New Zealand;0;0;France;Rugby World Cup 2015;26
